Tm,2018,2017,2016,2015,2014,2013,2012,2011,2010
ARI,31,93,69,79,64,81,81,94,65
ATL,35,72,68,67,79,96,94,89,91
BAL,17,75,89,81,96,85,93,69,66
BOS,41,93,93,78,71,97,69,90,89
CHC,33,92,103,97,73,66,61,71,75
CHW,18,67,78,76,73,63,85,79,88
CIN,21,68,68,64,76,90,97,79,91
CLE,30,102,94,81,85,92,68,80,69
COL,30,87,75,68,66,74,64,73,83
DET,29,64,86,74,90,93,88,95,81
HOU,37,101,84,86,70,51,55,56,76
KCR,21,80,81,95,89,86,72,71,67
LAA,33,80,74,85,98,78,89,86,80
LAD,29,104,91,92,94,92,86,82,80
MIA,20,77,79,71,77,62,69,72,80
MIL,37,86,73,68,82,74,83,96,77
MIN,25,85,59,83,70,66,66,63,94
NYM,27,70,87,90,79,74,74,77,79
NYY,38,91,84,87,84,85,95,97,95
OAK,31,75,69,68,88,96,94,74,81
PHI,31,66,71,63,73,73,81,102,97
PIT,30,75,78,98,88,94,79,72,57
SDP,28,71,68,74,77,76,76,71,90
SFG,30,64,87,84,88,76,94,86,92
SEA,37,78,86,76,87,71,75,67,61
STL,32,83,86,100,90,97,88,90,86
TBR,28,80,68,80,77,92,90,91,96
TEX,25,78,95,88,67,91,93,96,90
TOR,26,76,89,93,83,74,73,81,85
WSN,33,97,95,83,96,86,98,80,69
